Sample dataset with 298 in 3D
5
Xlocation
Ylocation
Zlocation
Primary
Secondary
  11.76   10.55   10.60    -1.5707    51.6483
  25.02   47.08    0.04    -2.2872    67.3601
  34.39   37.46   15.05    -2.3535    68.8392
  35.08    0.74   24.40     1.0350    -1.1648
  28.06   37.56   13.53    -1.6855    54.1303
   8.69   13.27   11.29    -0.7559    34.4042
  17.76   17.04   21.87    -0.4120    27.3240
  10.60    3.53   30.20    -1.8032    56.6892
  30.68   10.79   13.12    -0.9902    39.2939
  31.02    1.88   32.74    -0.6150    31.4898
  24.89   23.92   12.82    -1.8661    58.0624
   3.26   45.00   36.13    -0.9892    39.2730
  24.73   47.70   26.05     0.4030    11.0220
  17.43   30.94   17.84     0.4254    10.5820
  46.38   48.23   41.50    -1.1523    42.7101
  14.44    7.14   46.59    -0.4285    27.6621
  46.31   41.20   15.98    -3.1299    86.4967
  28.69   29.03   22.11    -0.2294    23.6152
  16.02   24.67   22.32     0.9060     1.2909
  12.42   48.35    6.57    -1.4498    49.0463
  24.23   20.88    4.69    -2.9395    82.1095
  48.57   48.24   36.52    -2.2879    67.3742
  27.18   11.75   23.91    -1.3584    47.0901
  42.35    1.68   29.79     1.6894   -13.3614
  34.88   14.21   46.29    -0.2415    23.8600
  44.66   38.17    9.53    -2.9825    83.0971
  31.83    7.44    9.14    -0.7563    34.4130
  25.49   45.87   21.53     0.1513    15.9862
   5.76    2.61   48.40     1.3010    -6.1745
  21.09   21.17    8.47    -2.5164    72.4946
   8.16   24.79   45.72     0.6146     6.8964
   0.73   33.38   43.54    -0.1634    22.2809
  35.42   43.06   44.94     0.6758     5.7119
   4.79   30.89   14.56    -2.9221    81.7104
  21.39   47.74    4.16    -1.3504    46.9190
  31.03   31.72   22.57    -0.7113    33.4790
  25.24    6.69    9.05    -2.1279    63.8221
   7.18   20.29   10.18    -1.4008    47.9978
  47.32   43.46   28.85    -2.8261    79.5156
  19.16   26.61    6.36    -2.5388    72.9981
  14.04    0.63   15.56    -2.3366    68.4621
  37.50   21.51   38.33     0.0766    17.4712
  21.17   16.26   47.16    -1.1318    42.2762
   5.30   15.34   16.15    -0.9410    38.2624
  38.26   27.20   30.88    -1.4815    49.7270
  20.24   16.62   25.28    -0.8176    35.6868
  28.80   34.21   48.04     1.0554    -1.5516
  44.73   18.05    6.89    -1.9470    59.8362
   9.27    2.87   32.93    -1.8260    57.1876
  12.08   39.55   49.52     0.8116     3.0970
  24.63   30.26   48.27     1.2801    -5.7830
  21.82    8.37   36.36    -2.4855    71.7988
  46.97    2.66   17.63     0.9087     1.2393
  22.28   41.81   24.49     1.2375    -4.9845
  40.97   26.05   21.58    -2.4970    72.0575
  40.84    3.34   28.70     1.8243   -15.8224
  34.93    0.64   25.59     0.9198     1.0261
   7.71   24.75   36.06    -0.6709    32.6439
   8.79   27.70   25.36    -1.0759    41.0964
  10.70   48.67   24.99    -1.5494    51.1889
  31.54   42.95    6.05    -2.4747    71.5570
  30.20   35.31   29.63    -0.1072    21.1499
  26.23   17.58   44.25    -1.1984    43.6859
   7.78   39.85    1.37    -2.3658    69.1151
  31.93   33.77    6.29    -2.9178    81.6136
  39.60   19.99   26.28    -1.2970    45.7815
  12.01   36.04   10.69    -1.7197    54.8735
   4.18   10.38    0.12    -2.1520    64.3564
  16.37   38.60   26.69     1.1946    -4.1781
  14.45   47.36   34.78     0.7468     4.3429
  37.09   46.85    5.54    -1.8882    58.5462
  40.67    8.90   10.89     0.6258     6.6802
  36.50   12.57   31.54     0.2994    13.0568
  29.56   46.95   20.77    -1.3717    47.3745
  25.07   24.84   16.41    -1.0619    40.8011
  30.19   38.89   21.58    -0.2958    24.9606
  46.03   49.15    8.51    -1.9813    60.5884
   3.26   33.15   48.30     0.1633    15.7474
   6.34   45.96    7.07    -1.8540    57.7977
   6.04   24.38   22.90    -1.4468    48.9825
  19.31   46.10   27.99     1.4502    -8.9524
  48.18   15.57   30.83    -1.2360    44.4830
  48.61    3.88    6.08    -1.4308    48.6404
  33.91   39.03   28.54    -1.7113    54.6912
   7.40   10.55   32.72    -0.9497    38.4451
  28.96    1.06    0.68    -2.1343    63.9626
  10.93   45.52   49.53     0.3011    13.0232
   1.51   31.68   48.20     0.1641    15.7322
  47.76   32.77   27.43    -3.0797    85.3361
  26.23   19.85   41.42    -0.8440    36.2371
  35.26    5.57   37.24     0.1594    15.8253
  17.75   31.78   21.00     1.2843    -5.8614
